,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
POL,POD,Carrier,20GP,40HC,OWS for 20GP,Freetime,Validity
SHA TJN TAO XMN SZX,San Antonio,Maersk Spot,"$2,162","$2,702",applies if weight >20t,7 d,Sep 01-Sep 07
SHA TJN TAO XMN SZX,Buenaventura,Maersk Spot,"$2,262","$2,802",applies if weight >20t,7 d,Sep 01-Sep 07
TAO SHA NGB,San Antonio,YML,"$2,600","$2,900",applies if weight >18t,21d,Sep 01 - Sep 03
TAO SHA NGB,Buenaventura,YML,"$2,850","$3,150",applies if weight >18t,21d,Sep 01 - Sep 03
Wenzhou,San Antonio,Maersk Spot,"$2,298","$2,988",applies if weight >20t,7d,Sep 01-Sep 07
Wenzhou,Buenaventura,Maersk Spot,"$2,398","$3,138",applies if weight >20t,7d,Sep 01-Sep 07
TAO SHA NGB XMN SZX,Chancay,CMA SPOT,"$3,544","$4,194",-,21d,Sep 01-Sep 07
,,,,,,,
"Subject to profit share USD50/Cntr, MBL release USD75/BL",,,,,,,
,,,,,,,
- Rates are valid for general (non-DG) cargo .,,,,,,,
,,,,,,,
- Rates are subject to space & equipment availability.,,,,,,,
,,,,,,,
Special Remark for Spot rates,,,,,,,
,,,,,,,
- Spot rates level and space availability may change at any time;,,,,,,,
,,,,,,,
- Subject to cancellation fee / Amendment fee if require.,,,,,,,
