,,,,,,,,
,,IMPORTACIÓN ASIA A IQUIQUE,,,,,,
,,Vigencia fecha de zarpe: 15 al 31 de agosto 2025,,,,,,
,,,,,,,,
,,,,,,,,
,PAIS,POL,SERVICIO - VIA,POD, 1 -15 w/m (USD) ,FRECUENCIA,AGENTE,TT APROX
,AUSTRALIA,ADELAIDE,BUSAN,IQUIQUE,USD 249,SEMANAL,GL KOREA,77 a 79 días
,,BRISBANE,BUSAN,IQUIQUE,USD 244,SEMANAL,GL KOREA,76 a 78 días
,,FREMANTLE,BUSAN,IQUIQUE,USD 244,SEMANAL,GL KOREA,73 a 75 días
,,MELBOURNE,BUSAN,IQUIQUE,USD 244,SEMANAL,GL KOREA,85 a 87 días
,,SYDNEY,BUSAN,IQUIQUE,USD 254,SEMANAL,GL KOREA,79 a 81 días
,BANGLADESH,CHITTAGONG,BUSAN,IQUIQUE,USD 162,SEMANAL,GL KOREA,71 a 73 días
,CAMBODIA,PHNOM PHENH,BUSAN,IQUIQUE,USD 142,SEMANAL,GL KOREA,70 a 72 días
,CHINA,CHIWAN,BUSAN,IQUIQUE,USD 124,SEMANAL,GL KOREA,49 a 51 días
,,SHEKOU,BUSAN,IQUIQUE,USD 124,SEMANAL,GL KOREA,49 a 51 días
,,YANTIAN,BUSAN,IQUIQUE,USD 124,SEMANAL,GL KOREA,42 a 44 días
,,DALIAN,BUSAN,IQUIQUE,USD 120,SEMANAL,GL KOREA,40 a 42 días
,,FOSHAN,BUSAN,IQUIQUE,USD 134,SEMANAL,GL KOREA,72 a 74 días
,,QINGDAO,BUSAN,IQUIQUE,USD 112,SEMANAL,GL KOREA,52 a 54 días
,,XIAMEN,BUSAN,IQUIQUE,USD 127,SEMANAL,GL KOREA,62 a 64 días
,,XINGANG,BUSAN,IQUIQUE,USD 125,SEMANAL,GL KOREA,51 a 53 días
,,TIANJIN,BUSAN,IQUIQUE,USD 125,SEMANAL,GL KOREA,54 a 56 días
,,SHANGHAI,BUSAN,IQUIQUE,USD 117,SEMANAL,GL KOREA,54 a 56 días
,,NINGBO,BUSAN,IQUIQUE,USD 107,SEMANAL,GL KOREA,52 a 54 días
,,JIANGMEN,BUSAN,IQUIQUE,USD 131,SEMANAL,GL KOREA,57 a 59 días
,,GUANGZHOU,BUSAN,IQUIQUE,USD 134,SEMANAL,GL KOREA,57 a 59 días
,,SHENZHEN,BUSAN,IQUIQUE,USD 124,SEMANAL,GL KOREA,55 a 57 días
,,SHANTOU,BUSAN,IQUIQUE,USD 133,SEMANAL,GL KOREA,47 a 49 días
,,SHUNDE,BUSAN,IQUIQUE,USD 131,SEMANAL,GL KOREA,55 a 57 días
,,XIAOLAN,BUSAN,IQUIQUE,USD 136,SEMANAL,GL KOREA,49 a 51 días
