,,,,,,,,,,
,,IMPORTACIÓN ASIA A ZONA CENTRAL,,,,,,,,
,,Vigencia fecha de zarpe: 15 al 31 de agosto 2025,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PAIS,POL,SERVICIO - VIA,POD, 1 -5 w/m (USD) , 5.01 - 10 w/m (USD) ," 10,01 -15 w/m (USD) ",FRECUENCIA, AGENTE ,TT APROX
,AUSTRALIA,ADELAIDE,SINGAPORE,VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL SINGAPORE,105 a 107 días
,,BRISBANE,SINGAPORE,VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL SINGAPORE,89 a 91 días
,,FREMANTLE,SINGAPORE,VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL SINGAPORE,80 a 82 días
,,MELBOURNE,SINGAPORE,VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL SINGAPORE,93 a 95 días
,,SYDNEY,SINGAPORE,VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL SINGAPORE,91 a 93 días
,BANGLADESH,CHITTAGONG,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,79 a 81 días
,CAMBODIA,PHNOM PENH,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,77 a 79 días
,,SIHANOUKVILLE,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,77 a 79 días
,CHINA,CHIWAN,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL SHENZHEN,47 a 49 días
,,SHEKOU,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL SHENZHEN,47 a 49 días
,,YANTIAN,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL SHENZHEN,47 a 49 días
,,GUANGZHOU,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL HUANGPU,55 a 57 días
,,HUANGPU,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL HUANGPU,55 a 57 días
,,DALIAN,BUSAN,VALPARAISO,USD 6,USD 6,USD 6,SEMANAL,GL KOREA,59 a 61 días
,,FOSHAN,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,47 a 49 días
,,QINGDAO,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL QINGDAO,40 a 42 días
,,XIAMEN,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL XIAMEN,52 a 54 días
,,XINGANG,DIRECTO,SAN ANTONIO - VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL XINGANG,45 a 47 días
,,TIANJIN,DIRECTO,SAN ANTONIO - VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL TIANJIN,45 a 47 días
,,SHANGHAI,DIRECTO,SAN ANTONIO - VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL SHANGHAI,42 a 44 días
,,NINGBO,DIRECTO,SAN ANTONIO - VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL NINGBO,43 a 45 días
,,CHENGDU,NINGBO,SAN ANTONIO - VALPARAISO,USD 29,USD 29,USD 29,SEMANAL,GL NINGBO,50 a 52 días
,,CHONGQING,NINGBO,SAN ANTONIO - VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL NINGBO,55 a 57 días
,,HEFEI,NINGBO,SAN ANTONIO - VALPARAISO,USD 56,USD 56,USD 56,SEMANAL,GL NINGBO,51 a 53 días
,,WUHAN,NINGBO,SAN ANTONIO - VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL NINGBO,50 a 52 días
,,FUZHOU,XIAMEN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL XIAMEN,58 a 60 días
,,JIANGMEN,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,49 a 51 días
,,NANHAI,SHENZHEN,SAN ANTONIO,USD 16,USD 16,USD 16,SEMANAL,GL SHENZHEN,59 a 61 días
,,SHENZHEN,DIRECTO,SAN ANTONIO ,USD 1,USD 1,USD 1,SEMANAL,GL SHENZHEN,47 a 49 días
,,SHAOXING,NINGBO,SAN ANTONIO - VALPARAISO,USD 26,USD 26,USD 26,SEMANAL,GL NINGBO,63 a 65 días
,,SHANTOU,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,47 a 49 días
,,SHUNDE,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,49 a 51 días
,,XIAOLAN,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,49 a 51 días
,,YIWU,NINGBO,SAN ANTONIO - VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL NINGBO,56 a 58 días
,,WENZHOU,NINGBO,SAN ANTONIO - VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL NINGBO,58 a 60 días
,,ZHONGSHAN,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,48 a 50 días
,,ZHUHAI,SHENZHEN,SAN ANTONIO,USD 6,USD 6,USD 6,SEMANAL,GL SHENZHEN,48 a 50 días
,HONG KONG,HONG KONG,DIRECTO,SAN ANTONIO,USD 1,USD 1,USD 1,SEMANAL,GL HONG KONG,54 a 56 días
,FILIPINAS,CEBU,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,54 a 56 días
,,MANILA,HONG KONG,SAN ANTONIO,USD 21,USD 21,USD 21,SEMANAL,GL HONG KONG,62 a 64 días
,INDIA,CALCUTTA,SINGAPORE,VALPARAISO,USD 36,USD 36,USD 36,QUINCENAL,GL SINGAPORE,81 a 83 días
,,CHENNAI,BUSAN,VALPARAISO,USD 31,USD 31,USD 31,SEMANAL,GL KOREA,76 a 78 días
,,COCHIN,SINGAPORE,VALPARAISO,USD 56,USD 56,USD 56,QUINCENAL,GL SINGAPORE,92 a 94 días
,,ICD BANGALORE,BUSAN,VALPARAISO,USD 46,USD 46,USD 46,SEMANAL,GL KOREA,79 a 81 días
,,TUTICORIN,SINGAPORE,VALPARAISO,USD 56,USD 56,USD 56,SEMANAL,GL SINGAPORE,89 a 91 días
,,NEW DELHI,BUSAN,SAN ANTONIO - VALPARAISO,USD 46,USD 46,USD 46,SEMANAL,GL INDIA / GL KOREA,82 a 84 días
,,BARODA,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,SEMANAL,GL INDIA / GL SINGAPORE,86 a 88 días
,,JAIPUR,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,SEMANAL,GL INDIA / GL SINGAPORE,86 a 88 días
,,JODHPUR,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,QUINCENAL,GL INDIA / GL SINGAPORE,86 a 88 días
,,PUNE,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,SEMANAL,GL INDIA / GL SINGAPORE,86 a 88 días
,,MORADABAD,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,QUINCENAL,GL INDIA / GL SINGAPORE,91 a 93 días
,,KANPUR,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,SEMANAL,GL INDIA / GL SINGAPORE,89 a 91 días
,,HYDERABAD,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 51,USD 51,USD 51,SEMANAL,GL INDIA / GL SINGAPORE,89 a 91 días
,,UDAIPUR,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,SEMANAL,GL INDIA / GL SINGAPORE,87 a 89 días
,,LUDHIANA,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 61,USD 61,USD 61,SEMANAL,GL INDIA / GL SINGAPORE,97 a 99 días
,,INDORE,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 76,USD 76,USD 76,QUINCENAL,GL INDIA / GL SINGAPORE,93 a 95 días
,,AHMEDABAD,SINGAPORE,SAN ANTONIO - VALPARAISO,USD 51,USD 51,USD 51,SEMANAL,GL INDIA / GL SINGAPORE,84 a 86 días
,,NHAVA SHEVA,DIRECTO,SAN ANTONIO - VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL INDIA /GL KOREA,76 a 78 días
,INDONESIA,BELAWAN,SINGAPORE,VALPARAISO,USD 81,USD 81,USD 81,SEMANAL,GL SINGAPORE,76 a 78 días
,,JAKARTA,BUSAN,VALPARAISO,USD 21,USD 21,USD 21,SEMANAL,GL KOREA,68 a 70 días
,,SEMARANG,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,78 a 80 días
,,SURABAYA,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,77 a 79 días
,JAPON,KOBE **,BUSAN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL KOREA,56 a 58 días
,,NAGOYA **,BUSAN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL KOREA,56 a 58 días
,,OSAKA **,BUSAN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL KOREA,56 a 58 días
,,TOKYO **,BUSAN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL KOREA,56 a 58 días
,,YOKOHAMA **,BUSAN,VALPARAISO,USD 16,USD 16,USD 16,SEMANAL,GL KOREA,56 a 58 días
,JORDANIA,AQABA,SINGAPORE,VALPARAISO,USD 141,USD 141,USD 141,SEMANAL,GL SINGAPORE,89 a 91 días
,KOREA,BUSAN,DIRECTO,VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL KOREA,41 a 43 días
,MALASIA,PASIR GUDANG,SINGAPORE,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL SINGAPORE,72 a 74 días
,,PENANG,BUSAN,VALPARAISO,USD 41,USD 41,USD 41,QUINCENAL,GL KOREA,63 a 65 días
,,PORT KLANG,BUSAN,VALPARAISO,USD 31,USD 31,USD 31,QUINCENAL,GL KOREA,63 a 65 días
,MYANMAR,YANGON,SINGAPORE,VALPARAISO,USD 101,USD 101,USD 101,SEMANAL,GL SINGAPORE,84 a 86 días
,MAURITIUS,PORT LOUIS,SINGAPORE,VALPARAISO,USD 101,USD 101,USD 101,SEMANAL,GL SINGAPORE,104 a 106 días
,NUEVA ZELANDA,AUCKLAND,SINGAPORE,VALPARAISO,USD 59,USD 59,USD 59,QUINCENAL,GL SINGAPORE,84 a 86 días
,,LYTTELTON,SINGAPORE,VALPARAISO,USD 101,USD 101,USD 101,SEMANAL,GL SINGAPORE,84 a 86 días
,PAKISTAN,KARACHI,BUSAN,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL KOREA,88 a 90 días
,SINGAPORE,SINGAPORE,DIRECTO,VALPARAISO,USD 1,USD 1,USD 1,SEMANAL,GL SINGAPORE,61 a 63 días
,SOUTH AFRICA,CAPE TOWN,SINGAPORE,VALPARAISO,USD 126,USD 126,USD 126,QUINCENAL,GL SINGAPORE,103 a 105 días
,,DURBAN,SINGAPORE,VALPARAISO,USD 126,USD 126,USD 126,SEMANAL,GL SINGAPORE,91 a 93 días
,,PORT ELIZABETH,SINGAPORE,VALPARAISO,USD 192,USD 192,USD 192,QUINCENAL,GL SINGAPORE,104 a 106 días
,,JOHANNESBURGO,SINGAPORE,VALPARAISO,USD 174,USD 174,USD 174,QUINCENAL,GL SINGAPORE,104 a 106 días
,SRI LANKA,COLOMBO,BUSAN,VALPARAISO,USD 41,USD 41,USD 41,SEMANAL,GL KOREA,84 a 86 días
,TAILANDIA,BANGKOK,BUSAN,VALPARAISO,USD 21,USD 21,USD 21,SEMANAL,GL KOREA,64 a 66 días
