,,,,,,,,,,,
,,IMPORTACIÓN USA - IQUIQUE,,,,,,,,,
,,Vigencia fecha de zarpe: 15 al 31 de agosto 2025,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,PAIS,POL,SERVICIO - VIA,POD, OF W/M , OTHERS(*) W/M , BL  , SOLAS ,FRECUENCIA,AGENTE,TT APROX
,ESTADOS UNIDOS,MIAMI,DIRECTO,IQUIQUE,USD 120,USD 7,No aplica,No aplica,QUINCENAL,CRAFT USA,23 a 25 días
,,NEW YORK,MIAMI,IQUIQUE,USD 186,USD 7,USD 10,USD 10,QUINCENAL,CRAFT USA,26 a 28 días
,,CHICAGO,MIAMI,IQUIQUE,USD 184,USD 7,USD 25,USD 10,QUINCENAL,CRAFT USA,26 a 28 días
,,HOUSTON,MIAMI,IQUIQUE,USD 217,USD 7,USD 25,USD 10,QUINCENAL,CRAFT USA,33 a 35 días
,,LOS ANGELES,MIAMI,IQUIQUE,USD 206,USD 7,USD 7,USD 10,QUINCENAL,CRAFT USA,39 a 41 días
,CANADA,MONTREAL,MIAMI,IQUIQUE,USD 330,USD 7,USD 25,USD 10,QUINCENAL,CRAFT USA,47 a 49 días
,,TORONTO,MIAMI,IQUIQUE,USD 288,USD 7,USD 25,USD 10,QUINCENAL,CRAFT USA,50 a 52 días
,,,,,,,,,,,
,NOTAS IMPORTANTES,,,,,,,,,,
,"¬Tarifas válidas para carga general y apilable, no aplica para carga peligrosa, restringida y sobredimensionada.",,,,,,,,,,
,¬Tarifas válidas hasta 15 m³ (inclusive); cargas que excedan este volumen deben ser consultados caso a caso.,,,,,,,,,,
,¬Se considera como mínimo 1 m³.,,,,,,,,,,
,"¬Para cargas con paridad distinta a 1cbm:500kg, chequear caso a caso.",,,,,,,,,,
,¬Los itinerarios y tiempos de tránsito publicados son estimativos y podrían estar sujetos a variaciones por parte de las compañías navieras.,,,,,,,,,,
,¬El embalaje debe ser apto para el transporte maritimo consolidado. Craft ni su red de agentes se harán responsables por daños generados por un embalajes inadecuado.,,,,,,,,,,
,¬Todas las cargas peligrosas estan sujetas a aprobacion por parte de las compañías navieras. Se debe siempre adjuntar copia de MSDS.,,,,,,,,,,
,¬Todas las cargas peligrosas serán consideradas no apilables.,,,,,,,,,,
,"¬Las cargas IMO que sean canceladas por el cliente y cuya aceptación de compañía naviera y booking estén confirmadas, estan sujetas a aplicación de recargo IMO según ruta.",,,,,,,,,,
,¬No manejamos siguientes IMO 1 | 2.3 | 4.1 | 4.2 | 4.3 | 5.1 | 5.2 | 6.1 | 6.2 | 7,,,,,,,,,,
,"¬Concepto Others(*) W/M indicado en título tarifado contempla : CHS, LSF, EBS y EFF.",,,,,,,,,,
,"¬Cargas provenientes desde puertos distintos a Miami, no pueden sobrepasar 5 tons y 15 cbm. Si su carga excede estas condiciones, favor revisar caso a caso.",,,,,,,,,,
,,,,,,,,,,,
,RECARGO GRUPAJE,,,,,,,,,,
,¬Recargo por Shipper extra USD 50,,,,,,,,,,
,OBSERVACIONES RUTA ESTADOS UNIDOS:,,,,,,,,,,
,¬Todas las cargas deben ingresar a la bodega de origen con booking pre-asignados o podrían ser rechazadas. Craft no se hará responsable de posibles falsos fletes.,,,,,,,,,,
,¬Cargas no apilables estan sujetas a recargos adicionales cotizadas caso a caso.,,,,,,,,,,
,¬CFS Miami recibe máximo peso x bulto 8000lbs. ,,,,,,,,,,
,"¬Cargas que superen 96"", son consideradas sobredimensionadas y se cotizan caso a caso.",,,,,,,,,,
,¬Contacte a su ejecutivo comercial para otros origenes (condicion EXW): Atlanta - Baltimore - Boston - Charleston - Charlotte - Cincinnati - Cleveland - Columbus - ,,,,,,,,,,
,Dallas - Detroit - Indianapolis -  Memphis - New Orleans - Norfolk - Philadelphia - Portland - San Francisco - Seattle.,,,,,,,,,,
,,,,,,,,,,,
,Servicios adicionales (solo si aplica):,,,,,,,,,,
,"¬SED Miami: USD 35,00",,,,,,,,,,
,"¬SED Otros Origenes: USD 50,00",,,,,,,,,,
,"¬Recargo Bonded Canadá (corresponde para todas las cargas provenientes de Canada): USD 120,00 /BL",,,,,,,,,,
,"¬Emisión documento 7512: USD 175,00/BL.",,,,,,,,,,
,,,,,,,,,,,
,Recargo IMO:,,,,,,,,,,
,"¬IMO USD 26,00 W/M  (Mínimo USD 150,00)",,,,,,,,,,
,"¬Doc Fee USD 17,00 per BL",,,,,,,,,,
,¬El almacén extraportuario en Iquique no puede almacenar carga IMO y por lo tanto todas las cargas deben ser retiradas bajo condicion DIRECTA.,,,,,,,,,,
,,,,,,,,,,,
,Overlength Surcharge: ,,,,,,,,,,
,¬Hasta 12ft exento,,,,,,,,,,
,"¬Sobre 12ft (inclusive) recargo de USD 18,00 por cada ft adicional por bulto ",,,,,,,,,,
,,,,,,,,,,,
,RECARGO NO APILABLES (NON STACKABLE),,,,,,,,,,
,"¬TODAS LAS RUTAS, Para cargas No apilables (Non stackable), se debe notificar y consultar costos caso a caso pues varían según origen.",,,,,,,,,,
